"","Date","Active.Cases","Daily.New.Cases","Daily.New.Deaths","Newly.Recovered","PM2.5","PM10","O3","NO2","SO2"
"1",2020-02-15,0,0,0,0,79,34,20,26,2
"2",2020-02-16,0,0,0,0,80,28,24,24,2
"3",2020-02-17,0,0,0,0,73,21,14,23,2
"4",2020-02-18,0,0,0,0,57,17,19,25,3
"5",2020-02-19,0,0,0,0,44,21,26,29,3
"6",2020-02-20,0,0,0,0,43,33,13,41,4
"7",2020-02-21,0,0,0,0,67,30,23,41,4
"8",2020-02-22,0,0,0,0,59,34,23,43,4
"9",2020-02-23,0,0,0,0,68,30,30,34,3
"10",2020-02-24,1,1,0,0,56,33,27,39,3
"11",2020-02-25,7,6,0,0,62,31,27,36,3
"12",2020-02-26,11,4,0,0,62,15,30,19,1
"13",2020-02-27,23,12,0,0,30,65,27,22,2
"14",2020-02-28,31,8,0,0,72,65,24,32,3
"15",2020-02-29,56,25,0,0,88,47,26,18,2
"16",2020-03-01,82,26,0,0,64,28,27,10,2
"17",2020-03-02,118,36,0,0,29,26,30,13,2
"18",2020-03-03,162,45,1,0,25,17,21,21,1
"19",2020-03-04,224,63,1,0,47,14,24,17,2
"20",2020-03-05,276,54,1,1,38,15,33,17,2
"21",2020-03-06,387,119,5,3,38,9,32,17,2
"22",2020-03-07,485,124,2,24,23,13,31,21,2
"23",2020-03-08,625,149,7,2,32,16,25,22,3
"24",2020-03-09,1169,557,13,0,48,14,30,24,3
"25",2020-03-10,1524,464,6,103,37,13,26,17,3
"26",2020-03-11,2039,582,19,48,36,32,20,28,3
"27",2020-03-12,2871,869,31,6,59,36,21,34,3
"28",2020-03-13,4906,2086,47,4,64,29,31,26,2
"29",2020-03-14,5678,1159,63,324,64,21,38,13,2
"30",2020-03-15,7177,1597,98,0,60,20,32,11,2
"31",2020-03-16,9070,1954,48,13,56,10,25,12,2
"32",2020-03-17,10265,1884,191,498,39,12,30,13,2
"33",2020-03-18,13050,2943,105,53,46,26,22,17,3
"34",2020-03-19,16139,3308,193,26,59,27,33,14,0
"35",2020-03-20,18890,3494,262,481,57,35,28,9,1
"36",2020-03-21,21990,3925,288,537,56,16,27,9,1
"37",2020-03-22,24421,3272,391,450,43,9,29,6,2
"38",2020-03-23,29470,6368,539,780,29,9,27,13,1
"39",2020-03-24,35273,6922,680,439,33,13,27,9,1
"40",2020-03-25,40501,7457,656,1573,36,17,31,10,1
"41",2020-03-26,46406,8271,718,1648,48,14,35,15,2
"42",2020-03-27,51224,7933,773,2342,43,13,34,10,1
"43",2020-03-28,54968,7516,844,2928,46,10,37,10,2
"44",2020-03-29,58598,6875,821,2424,39,13,38,14,3
"45",2020-03-30,63460,7846,913,2071,47,12,28,8,2
"46",2020-03-31,68200,7967,748,2479,41,8,25,13,1
"47",2020-04-01,72084,8195,923,3388,32,10,30,13,2
"48",2020-04-02,74974,7947,961,4096,37,10,29,14,2
"49",2020-04-03,77488,7134,850,3770,35,11,36,12,2
"50",2020-04-04,80002,6969,749,3706,39,11,34,10,2
"51",2020-04-05,80925,5478,694,3861,42,14,34,5,2
"52",2020-04-06,82897,5029,700,2357,45,17,26,8,1
"53",2020-04-07,84689,5267,704,2771,56,26,24,13,1
"54",2020-04-08,85407,6278,747,4813,81,19,30,12,0
"55",2020-04-09,85610,5002,655,4144,61,18,29,9,1
"56",2020-04-10,86524,5051,634,3503,55,16,22,6,1
"57",2020-04-11,87312,4754,525,3441,58,15,29,5,3
"58",2020-04-12,87231,3804,603,3282,53,18,38,4,3
"59",2020-04-13,87616,3268,547,2336,58,18,35,8,2
"60",2020-04-14,88301,3961,499,2777,62,15,27,11,2
"61",2020-04-15,90994,6599,557,3349,54,12,30,9,2
"62",2020-04-16,91021,4289,318,3944,45,16,27,9,1
"63",2020-04-17,96564,5891,348,0,52,14,30,10,1
"64",2020-04-18,98382,3577,565,1194,46,14,38,10,2
"65",2020-04-19,98338,4258,410,3892,47,14,38,5,2
"66",2020-04-20,97464,1536,399,2011,52,14,29,9,2
"67",2020-04-21,98958,3968,430,2044,47,10,31,6,2
"68",2020-04-22,99440,4211,435,3294,30,12,34,11,2
"69",2020-04-23,100106,4635,440,3529,37,17,31,8,2
"70",2020-04-24,88111,6740,367,3944,53,16,34,8,1
"71",2020-04-25,87295,3995,378,4433,53,16,39,4,1
"72",2020-04-26,85712,2870,288,4165,55,19,33,4,1
"73",2020-04-27,85069,2793,331,3105,56,14,34,6,2
"74",2020-04-28,84403,2706,301,3071,43,12,31,7,3
"75",2020-04-29,79695,4771,453,9026,39,12,30,10,2
"76",2020-04-30,76842,2441,268,5026,37,15,31,6,2
"77",2020-05-01,75714,3639,281,4486,47,20,27,3,3
"78",2020-05-02,74234,2610,276,3814,63,21,25,5,2
"79",2020-05-03,73300,1533,164,2303,68,20,33,7,1
"80",2020-05-04,71240,1179,164,3075,65,27,32,4,1
"81",2020-05-05,70230,2260,185,3085,68,9,37,7,2
"82",2020-05-06,68466,3121,244,4641,29,14,47,13,3
"83",2020-05-07,66866,3173,213,4560,42,23,35,11,2
"84",2020-05-08,65410,3262,229,4489,55,12,42,8,1
"85",2020-05-09,63148,2666,179,4749,31,15,38,5,2
"86",2020-05-10,61603,1880,143,3282,49,9,31,2,2
"87",2020-05-11,63553,3480,123,1407,29,14,30,6,1
"88",2020-05-12,62130,1377,176,2624,43,12,32,9,2
"89",2020-05-13,60764,1575,184,2757,38,21,35,9,1
"90",2020-05-14,58845,1551,217,3253,69,13,33,11,2
"91",2020-05-15,57941,1721,138,2487,39,15,30,8,2
"92",2020-05-16,56689,2138,104,3286,50,13,31,4,1
"93",2020-05-17,54124,1214,87,3692,44,14,39,4,2
"94",2020-05-18,53521,469,59,1013,48,15,42,11,1
"95",2020-05-19,54067,615,69,0,45,17,43,12,1
"96",2020-05-20,54678,721,110,0,47,16,43,14,1
"97",2020-05-21,55219,593,52,0,48,20,50,16,2
"98",2020-05-22,56318,1787,688,0,53,30,45,13,3
"99",2020-05-23,56734,466,50,0,76,40,45,10,2
"100",2020-05-24,57142,482,74,0,109,28,42,3,3
"101",2020-05-25,58685,1593,50,0,78,45,33,10,3
"102",2020-05-26,59264,859,280,0,81,30,34,10,3
"103",2020-05-27,59773,510,1,0,66,26,38,10,3
"104",2020-05-28,60909,1137,1,0,67,23,40,10,3
"105",2020-05-29,61565,658,2,0,60,31,47,12,3
"106",2020-05-30,62225,664,4,0,65,31,51,13,3
"107",2020-05-31,62424,201,2,0,69,34,46,7,3
